"","region","year_group","country_txt","type_sankey","target_sankey","dbsource_sankey","count_attacks","kills","wounded"
"47","Middle East & North Africa","1970-1974","Lebanon","Bombing/Explosion","Government","PGIS",7,0,3
"48","Middle East & North Africa","1970-1974","Lebanon","Bombing/Explosion","Transportation","PGIS",3,0,0
"49","Middle East & North Africa","1970-1974","Lebanon","Assassination","Government","PGIS",2,0,3
"50","Middle East & North Africa","1970-1974","Lebanon","Hostage Taking","Business, Utilities & Communication","PGIS",2,4,0
"51","Middle East & North Africa","1970-1974","Lebanon","Hijacking","Transportation","Other Source",5,0,0
"52","Middle East & North Africa","1970-1974","Morocco","Bombing/Explosion","Government","PGIS",1,0,0
"53","Middle East & North Africa","1970-1974","Morocco","Armed Assault","Government","PGIS",1,0,0
"54","Middle East & North Africa","1970-1974","North Yemen","Bombing/Explosion","Government","PGIS",1,0,1
"55","Middle East & North Africa","1970-1974","South Yemen","Bombing/Explosion","Transportation","PGIS",1,0,0
"56","Middle East & North Africa","1970-1974","Syria","Bombing/Explosion","Business, Utilities & Communication","PGIS",2,1,1
"57","Middle East & North Africa","1970-1974","Syria","Bombing/Explosion","Government","PGIS",2,0,8
"58","Middle East & North Africa","1970-1974","Turkey","Bombing/Explosion","Private Citizens & Property","PGIS",4,0,0
"59","Middle East & North Africa","1970-1974","Turkey","Bombing/Explosion","Military","PGIS",15,0,0
"60","Middle East & North Africa","1970-1974","Turkey","Bombing/Explosion","Business, Utilities & Communication","PGIS",7,0,3
"61","Middle East & North Africa","1970-1974","Turkey","Bombing/Explosion","Government","PGIS",14,0,0
"62","Middle East & North Africa","1970-1974","Turkey","Bombing/Explosion","Transportation","PGIS",1,0,0
"63","Middle East & North Africa","1970-1974","Turkey","Armed Assault","Private Citizens & Property","PGIS",1,0,0
"64","Middle East & North Africa","1970-1974","Turkey","Armed Assault","Military","PGIS",1,0,0
"65","Middle East & North Africa","1970-1974","Turkey","Armed Assault","Police","PGIS",1,0,1
"66","Middle East & North Africa","1970-1974","Turkey","Armed Assault","Business, Utilities & Communication","PGIS",1,0,0
"67","Middle East & North Africa","1970-1974","Turkey","Armed Assault","Government","PGIS",1,0,0
"68","Middle East & North Africa","1970-1974","Turkey","Assassination","Military","PGIS",2,0,1
"69","Middle East & North Africa","1970-1974","Turkey","Hostage Taking","Military","PGIS",3,3,0
"70","Middle East & North Africa","1970-1974","Turkey","Hostage Taking","Business, Utilities & Communication","PGIS",1,0,0
"71","Middle East & North Africa","1970-1974","Turkey","Hostage Taking","Government","PGIS",1,1,0
"72","Middle East & North Africa","1970-1974","Turkey","Facility/Infrastructure Attack","Government","PGIS",1,0,0
"73","Middle East & North Africa","1970-1974","Turkey","Facility/Infrastructure Attack","Transportation","PGIS",1,0,0
"74","Middle East & North Africa","1970-1974","Turkey","Hijacking","Transportation","Other Source",2,0,2
"75","Middle East & North Africa","1970-1974","United Arab Emirates","Hijacking","Transportation","Other Source",1,1,2
"76","Middle East & North Africa","1970-1974","West Bank and Gaza Strip","Armed Assault","Private Citizens & Property","Other Source",1,1,3
"77","Middle East & North Africa","1975-1979","Algeria","Bombing/Explosion","Business, Utilities & Communication","PGIS",1,0,0
"78","Middle East & North Africa","1975-1979","Algeria","Bombing/Explosion","Transportation","PGIS",1,0,0
"79","Middle East & North Africa","1975-1979","Algeria","Assassination","Government","PGIS",1,0,1
"80","Middle East & North Africa","1975-1979","Bahrain","Bombing/Explosion","Transportation","PGIS",1,0,0
"81","Middle East & North Africa","1975-1979","Egypt","Bombing/Explosion","Private Citizens & Property","PGIS",1,0,0
"82","Middle East & North Africa","1975-1979","Egypt","Bombing/Explosion","Military","PGIS",1,2,0
"83","Middle East & North Africa","1975-1979","Egypt","Bombing/Explosion","Government","PGIS",1,1,4
"84","Middle East & North Africa","1975-1979","Egypt","Assassination","Business, Utilities & Communication","PGIS",1,1,0
"85","Middle East & North Africa","1975-1979","Iran","Bombing/Explosion","Private Citizens & Property","PGIS",6,11,93
"86","Middle East & North Africa","1975-1979","Iran","Bombing/Explosion","Military","PGIS",1,0,0
"87","Middle East & North Africa","1975-1979","Iran","Bombing/Explosion","Police","PGIS",6,6,12
"88","Middle East & North Africa","1975-1979","Iran","Bombing/Explosion","Business, Utilities & Communication","PGIS",10,2,49
"89","Middle East & North Africa","1975-1979","Iran","Bombing/Explosion","Unknown, religious & militia","PGIS",1,7,60
"90","Middle East & North Africa","1975-1979","Iran","Bombing/Explosion","Government","PGIS",11,0,1
"91","Middle East & North Africa","1975-1979","Iran","Bombing/Explosion","Transportation","PGIS",8,8,19
"92","Middle East & North Africa","1975-1979","Iran","Armed Assault","Private Citizens & Property","PGIS",1,0,0
"93","Middle East & North Africa","1975-1979","Iran","Armed Assault","Military","PGIS",3,9,0
"94","Middle East & North Africa","1975-1979","Iran","Armed Assault","Police","PGIS",6,5,3
"95","Middle East & North Africa","1975-1979","Iran","Armed Assault","Business, Utilities & Communication","PGIS",4,0,0
"96","Middle East & North Africa","1975-1979","Iran","Armed Assault","Unknown, religious & militia","PGIS",1,0,0
"97","Middle East & North Africa","1975-1979","Iran","Armed Assault","Government","PGIS",4,0,1
"98","Middle East & North Africa","1975-1979","Iran","Armed Assault","Transportation","PGIS",1,9,60
"99","Middle East & North Africa","1975-1979","Iran","Assassination","Private Citizens & Property","PGIS",2,1,0
"100","Middle East & North Africa","1975-1979","Iran","Assassination","Military","PGIS",2,2,1
"101","Middle East & North Africa","1975-1979","Iran","Assassination","Police","PGIS",4,5,0
"102","Middle East & North Africa","1975-1979","Iran","Assassination","Business, Utilities & Communication","PGIS",12,12,2
"103","Middle East & North Africa","1975-1979","Iran","Assassination","Unknown, religious & militia","PGIS",5,5,1
"104","Middle East & North Africa","1975-1979","Iran","Assassination","Government","PGIS",14,8,5
"105","Middle East & North Africa","1975-1979","Iran","Assassination","Transportation","PGIS",1,1,0
"106","Middle East & North Africa","1975-1979","Iran","Hostage Taking","Business, Utilities & Communication","PGIS",1,0,0
"107","Middle East & North Africa","1975-1979","Iran","Hostage Taking","Government","PGIS",2,0,3
"108","Middle East & North Africa","1975-1979","Iran","Unknown","Police","PGIS",2,0,0
"109","Middle East & North Africa","1975-1979","Iran","Unknown","Business, Utilities & Communication","PGIS",2,0,0
"110","Middle East & North Africa","1975-1979","Iran","Unknown","Government","PGIS",2,0,0
"111","Middle East & North Africa","1975-1979","Iran","Unknown","Transportation","PGIS",5,0,0
"112","Middle East & North Africa","1975-1979","Iran","Facility/Infrastructure Attack","Business, Utilities & Communication","PGIS",11,423,2
"113","Middle East & North Africa","1975-1979","Iran","Facility/Infrastructure Attack","Government","PGIS",2,0,0
"114","Middle East & North Africa","1975-1979","Iran","Unarmed Assault","Military","PGIS",1,5,0
"115","Middle East & North Africa","1975-1979","Iraq","Bombing/Explosion","Transportation","PGIS",1,10,285
"116","Middle East & North Africa","1975-1979","Iraq","Armed Assault","Government","PGIS",1,0,0
"117","Middle East & North Africa","1975-1979","Iraq","Assassination","Unknown, religious & militia","PGIS",1,2,0
"118","Middle East & North Africa","1975-1979","Iraq","Assassination","Government","PGIS",1,1,0
"119","Middle East & North Africa","1975-1979","Iraq","Hostage Taking","Government","PGIS",1,0,0
"120","Middle East & North Africa","1975-1979","Iraq","Hijacking","Transportation","Other Source",1,0,1
"121","Middle East & North Africa","1975-1979","Israel","Bombing/Explosion","Private Citizens & Property","PGIS",57,30,417
"122","Middle East & North Africa","1975-1979","Israel","Bombing/Explosion","Military","PGIS",11,7,18
"123","Middle East & North Africa","1975-1979","Israel","Bombing/Explosion","Police","PGIS",4,5,6
"124","Middle East & North Africa","1975-1979","Israel","Bombing/Explosion","Business, Utilities & Communication","PGIS",33,4,58
"125","Middle East & North Africa","1975-1979","Israel","Bombing/Explosion","Unknown, religious & militia","PGIS",7,8,51
"126","Middle East & North Africa","1975-1979","Israel","Bombing/Explosion","Government","PGIS",14,2,22
"127","Middle East & North Africa","1975-1979","Israel","Bombing/Explosion","Transportation","PGIS",25,8,114
"128","Middle East & North Africa","1975-1979","Israel","Armed Assault","Private Citizens & Property","PGIS",2,5,6
"129","Middle East & North Africa","1975-1979","Israel","Assassination","Private Citizens & Property","PGIS",2,2,0
"130","Middle East & North Africa","1975-1979","Israel","Assassination","Government","PGIS",1,1,0
"131","Middle East & North Africa","1975-1979","Israel","Hostage Taking","Private Citizens & Property","PGIS",1,2,0
"132","Middle East & North Africa","1975-1979","Israel","Hostage Taking","Business, Utilities & Communication","PGIS",2,22,1
"133","Middle East & North Africa","1975-1979","Israel","Hostage Taking","Transportation","PGIS",1,42,76
"134","Middle East & North Africa","1975-1979","Israel","Unknown","Military","PGIS",1,8,0
"135","Middle East & North Africa","1975-1979","Israel","Facility/Infrastructure Attack","Private Citizens & Property","PGIS",1,0,0
"136","Middle East & North Africa","1975-1979","Israel","Facility/Infrastructure Attack","Business, Utilities & Communication","PGIS",1,0,0
"137","Middle East & North Africa","1975-1979","Jordan","Hostage Taking","Business, Utilities & Communication","PGIS",1,9,5
"138","Middle East & North Africa","1975-1979","Kuwait","Bombing/Explosion","Business, Utilities & Communication","PGIS",1,0,0
"139","Middle East & North Africa","1975-1979","Kuwait","Assassination","Unknown, religious & militia","PGIS",1,1,0
"140","Middle East & North Africa","1975-1979","Kuwait","Facility/Infrastructure Attack","Transportation","PGIS",1,0,0
"141","Middle East & North Africa","1975-1979","Lebanon","Bombing/Explosion","Private Citizens & Property","PGIS",2,0,1
"142","Middle East & North Africa","1975-1979","Lebanon","Bombing/Explosion","Private Citizens & Property","Other Source",1,0,1
"143","Middle East & North Africa","1975-1979","Lebanon","Bombing/Explosion","Military","PGIS",1,1,0
"144","Middle East & North Africa","1975-1979","Lebanon","Bombing/Explosion","Military","Other Source",1,0,0
"145","Middle East & North Africa","1975-1979","Lebanon","Bombing/Explosion","Business, Utilities & Communication","PGIS",8,3,29
"146","Middle East & North Africa","1975-1979","Lebanon","Bombing/Explosion","Unknown, religious & militia","PGIS",4,104,192
"147","Middle East & North Africa","1975-1979","Lebanon","Bombing/Explosion","Unknown, religious & militia","Other Source",1,0,0
"148","Middle East & North Africa","1975-1979","Lebanon","Bombing/Explosion","Government","PGIS",9,7,7
"149","Middle East & North Africa","1975-1979","Lebanon","Bombing/Explosion","Government","Other Source",1,0,0
"150","Middle East & North Africa","1975-1979","Lebanon","Bombing/Explosion","Transportation","PGIS",4,4,6
"151","Middle East & North Africa","1975-1979","Lebanon","Armed Assault","Military","PGIS",1,0,0
"152","Middle East & North Africa","1975-1979","Lebanon","Armed Assault","Police","PGIS",1,0,1
"153","Middle East & North Africa","1975-1979","Lebanon","Armed Assault","Unknown, religious & militia","PGIS",1,2,1
"154","Middle East & North Africa","1975-1979","Lebanon","Armed Assault","Unknown, religious & militia","Other Source",1,22,0
"155","Middle East & North Africa","1975-1979","Lebanon","Armed Assault","Transportation","PGIS",3,6,29
"156","Middle East & North Africa","1975-1979","Lebanon","Assassination","Police","PGIS",1,1,0
"157","Middle East & North Africa","1975-1979","Lebanon","Assassination","Business, Utilities & Communication","PGIS",3,2,1
"158","Middle East & North Africa","1975-1979","Lebanon","Assassination","Unknown, religious & militia","PGIS",7,12,18
"159","Middle East & North Africa","1975-1979","Lebanon","Assassination","Government","PGIS",9,9,9
"160","Middle East & North Africa","1975-1979","Lebanon","Assassination","Government","Other Source",1,0,1
"161","Middle East & North Africa","1975-1979","Lebanon","Hostage Taking","Private Citizens & Property","PGIS",1,0,0
"162","Middle East & North Africa","1975-1979","Lebanon","Hostage Taking","Military","PGIS",1,0,0
"163","Middle East & North Africa","1975-1979","Lebanon","Hostage Taking","Unknown, religious & militia","PGIS",1,0,0
"164","Middle East & North Africa","1975-1979","Lebanon","Hostage Taking","Government","PGIS",4,0,0
"165","Middle East & North Africa","1975-1979","Lebanon","Hostage Taking","Transportation","PGIS",1,0,0
"166","Middle East & North Africa","1975-1979","Lebanon","Unknown","Government","PGIS",3,2,2
"167","Middle East & North Africa","1975-1979","Lebanon","Hijacking","Transportation","Other Source",2,0,0
"168","Middle East & North Africa","1975-1979","Libya","Assassination","Unknown, religious & militia","Other Source",1,0,1
"169","Middle East & North Africa","1975-1979","Libya","Hijacking","Transportation","PGIS",2,0,0
"170","Middle East & North Africa","1975-1979","Morocco","Bombing/Explosion","Business, Utilities & Communication","PGIS",2,0,34
"171","Middle East & North Africa","1975-1979","Morocco","Hostage Taking","Private Citizens & Property","PGIS",1,0,0
"172","Middle East & North Africa","1975-1979","Morocco","Unknown","Military","PGIS",1,10,0
"173","Middle East & North Africa","1975-1979","North Yemen","Assassination","Government","PGIS",2,1,0
"174","Middle East & North Africa","1975-1979","North Yemen","Assassination","Government","Other Source",1,1,0
"175","Middle East & North Africa","1975-1979","Saudi Arabia","Bombing/Explosion","Business, Utilities & Communication","PGIS",1,0,0
"176","Middle East & North Africa","1975-1979","Saudi Arabia","Armed Assault","Unknown, religious & militia","PGIS",1,5,10
"177","Middle East & North Africa","1975-1979","Syria","Bombing/Explosion","Private Citizens & Property","PGIS",1,0,0
"178","Middle East & North Africa","1975-1979","Syria","Bombing/Explosion","Military","PGIS",2,54,0
"179","Middle East & North Africa","1975-1979","Syria","Bombing/Explosion","Business, Utilities & Communication","PGIS",1,0,0
"180","Middle East & North Africa","1975-1979","Syria","Bombing/Explosion","Unknown, religious & militia","PGIS",1,0,0
"181","Middle East & North Africa","1975-1979","Syria","Bombing/Explosion","Government","PGIS",7,6,1
"182","Middle East & North Africa","1975-1979","Syria","Bombing/Explosion","Transportation","PGIS",1,0,0
"183","Middle East & North Africa","1975-1979","Syria","Armed Assault","Military","PGIS",2,1,30
"184","Middle East & North Africa","1975-1979","Syria","Armed Assault","Police","PGIS",1,0,0
"185","Middle East & North Africa","1975-1979","Syria","Armed Assault","Transportation","PGIS",1,0,0
"186","Middle East & North Africa","1975-1979","Syria","Assassination","Private Citizens & Property","PGIS",4,5,0
"187","Middle East & North Africa","1975-1979","Syria","Assassination","Military","PGIS",8,10,0
"188","Middle East & North Africa","1975-1979","Syria","Assassination","Unknown, religious & militia","PGIS",1,1,0
"189","Middle East & North Africa","1975-1979","Syria","Assassination","Government","PGIS",4,4,1
"190","Middle East & North Africa","1975-1979","Syria","Hostage Taking","Business, Utilities & Communication","PGIS",1,5,34
"191","Middle East & North Africa","1975-1979","Syria","Facility/Infrastructure Attack","Business, Utilities & Communication","PGIS",1,0,0
"192","Middle East & North Africa","1975-1979","Tunisia","Hijacking","Transportation","Other Source",1,0,0
"193","Middle East & North Africa","1975-1979","Turkey","Bombing/Explosion","Private Citizens & Property","PGIS",63,2,26
"194","Middle East & North Africa","1975-1979","Turkey","Bombing/Explosion","Private Citizens & Property","Other Source",3,0,0
"195","Middle East & North Africa","1975-1979","Turkey","Bombing/Explosion","Military","PGIS",11,0,0
"196","Middle East & North Africa","1975-1979","Turkey","Bombing/Explosion","Military","Other Source",2,0,0
"197","Middle East & North Africa","1975-1979","Turkey","Bombing/Explosion","Police","PGIS",12,0,1
"198","Middle East & North Africa","1975-1979","Turkey","Bombing/Explosion","Business, Utilities & Communication","PGIS",75,8,139
"199","Middle East & North Africa","1975-1979","Turkey","Bombing/Explosion","Business, Utilities & Communication","Other Source",3,1,4
"200","Middle East & North Africa","1975-1979","Turkey","Bombing/Explosion","Unknown, religious & militia","PGIS",2,0,0
"201","Middle East & North Africa","1975-1979","Turkey","Bombing/Explosion","Government","PGIS",86,3,6
"202","Middle East & North Africa","1975-1979","Turkey","Bombing/Explosion","Transportation","PGIS",12,9,74
"203","Middle East & North Africa","1975-1979","Turkey","Bombing/Explosion","Transportation","Other Source",3,2,0
"204","Middle East & North Africa","1975-1979","Turkey","Armed Assault","Private Citizens & Property","PGIS",15,13,12
"205","Middle East & North Africa","1975-1979","Turkey","Armed Assault","Military","PGIS",3,0,3
"206","Middle East & North Africa","1975-1979","Turkey","Armed Assault","Police","PGIS",8,8,1
"207","Middle East & North Africa","1975-1979","Turkey","Armed Assault","Business, Utilities & Communication","PGIS",28,47,44
"208","Middle East & North Africa","1975-1979","Turkey","Armed Assault","Unknown, religious & militia","PGIS",2,5,0
"209","Middle East & North Africa","1975-1979","Turkey","Armed Assault","Government","PGIS",12,8,2
"210","Middle East & North Africa","1975-1979","Turkey","Armed Assault","Transportation","PGIS",3,2,5
"211","Middle East & North Africa","1975-1979","Turkey","Assassination","Private Citizens & Property","PGIS",6,5,2
"212","Middle East & North Africa","1975-1979","Turkey","Assassination","Military","PGIS",3,3,2
"213","Middle East & North Africa","1975-1979","Turkey","Assassination","Police","PGIS",7,6,4
"214","Middle East & North Africa","1975-1979","Turkey","Assassination","Business, Utilities & Communication","PGIS",18,19,7
"215","Middle East & North Africa","1975-1979","Turkey","Assassination","Unknown, religious & militia","PGIS",3,3,0
"216","Middle East & North Africa","1975-1979","Turkey","Assassination","Government","PGIS",35,47,9
"217","Middle East & North Africa","1975-1979","Turkey","Hostage Taking","Government","PGIS",3,2,0
"218","Middle East & North Africa","1975-1979","Turkey","Unknown","Private Citizens & Property","PGIS",3,6,0
"219","Middle East & North Africa","1975-1979","Turkey","Unknown","Military","Other Source",2,0,0
"220","Middle East & North Africa","1975-1979","Turkey","Facility/Infrastructure Attack","Military","PGIS",1,0,0
"221","Middle East & North Africa","1975-1979","Turkey","Facility/Infrastructure Attack","Business, Utilities & Communication","PGIS",1,0,0
"222","Middle East & North Africa","1975-1979","Turkey","Facility/Infrastructure Attack","Government","PGIS",2,0,0
"223","Middle East & North Africa","1975-1979","United Arab Emirates","Bombing/Explosion","Government","PGIS",1,0,0
"224","Middle East & North Africa","1975-1979","United Arab Emirates","Armed Assault","Transportation","PGIS",1,5,0
"225","Middle East & North Africa","1975-1979","United Arab Emirates","Assassination","Business, Utilities & Communication","PGIS",1,1,0
"226","Middle East & North Africa","1975-1979","United Arab Emirates","Hostage Taking","Unknown, religious & militia","PGIS",1,0,0
"227","Middle East & North Africa","1975-1979","West Bank and Gaza Strip","Bombing/Explosion","Private Citizens & Property","PGIS",4,2,0
"228","Middle East & North Africa","1975-1979","West Bank and Gaza Strip","Bombing/Explosion","Military","PGIS",5,0,9
"229","Middle East & North Africa","1975-1979","West Bank and Gaza Strip","Bombing/Explosion","Business, Utilities & Communication","PGIS",4,1,13
"230","Middle East & North Africa","1975-1979","West Bank and Gaza Strip","Bombing/Explosion","Unknown, religious & militia","PGIS",3,2,0
"231","Middle East & North Africa","1975-1979","West Bank and Gaza Strip","Bombing/Explosion","Government","PGIS",6,0,0
"232","Middle East & North Africa","1975-1979","West Bank and Gaza Strip","Bombing/Explosion","Transportation","PGIS",2,4,40
"233","Middle East & North Africa","1975-1979","West Bank and Gaza Strip","Assassination","Unknown, religious & militia","PGIS",1,1,0
"234","Middle East & North Africa","1975-1979","West Bank and Gaza Strip","Assassination","Government","PGIS",1,0,0
"235","Middle East & North Africa","1975-1979","West Bank and Gaza Strip","Facility/Infrastructure Attack","Government","PGIS",1,0,0
"236","Middle East & North Africa","1975-1979","Western Sahara","Hostage Taking","Transportation","PGIS",1,0,0
"237","Middle East & North Africa","1980-1984","Bahrain","Bombing/Explosion","Government","PGIS",1,0,0
"238","Middle East & North Africa","1980-1984","Egypt","Bombing/Explosion","Private Citizens & Property","PGIS",1,3,56
"239","Middle East & North Africa","1980-1984","Egypt","Bombing/Explosion","Police","PGIS",1,54,0
"240","Middle East & North Africa","1980-1984","Egypt","Bombing/Explosion","Unknown, religious & militia","PGIS",3,1,8
"241","Middle East & North Africa","1980-1984","Egypt","Bombing/Explosion","Government","PGIS",3,0,0
"242","Middle East & North Africa","1980-1984","Egypt","Bombing/Explosion","Transportation","PGIS",1,2,3
"243","Middle East & North Africa","1980-1984","Egypt","Armed Assault","Private Citizens & Property","PGIS",1,0,3
"244","Middle East & North Africa","1980-1984","Egypt","Assassination","Unknown, religious & militia","Other Source",1,8,30
"245","Middle East & North Africa","1980-1984","Egypt","Assassination","Government","PGIS",2,0,2
"246","Middle East & North Africa","1980-1984","Egypt","Hostage Taking","Transportation","PGIS",1,0,0
"247","Middle East & North Africa","1980-1984","Egypt","Unknown","Transportation","PGIS",1,0,0
"248","Middle East & North Africa","1980-1984","Iran","Bombing/Explosion","Private Citizens & Property","PGIS",37,151,1152
"249","Middle East & North Africa","1980-1984","Iran","Bombing/Explosion","Military","PGIS",10,20,64
"250","Middle East & North Africa","1980-1984","Iran","Bombing/Explosion","Police","PGIS",5,3,17
"251","Middle East & North Africa","1980-1984","Iran","Bombing/Explosion","Business, Utilities & Communication","PGIS",42,65,442
"252","Middle East & North Africa","1980-1984","Iran","Bombing/Explosion","Business, Utilities & Communication","Other Source",1,0,1
"253","Middle East & North Africa","1980-1984","Iran","Bombing/Explosion","Unknown, religious & militia","PGIS",5,5,48
"254","Middle East & North Africa","1980-1984","Iran","Bombing/Explosion","Government","PGIS",18,83,30
"255","Middle East & North Africa","1980-1984","Iran","Bombing/Explosion","Transportation","PGIS",10,19,122
"256","Middle East & North Africa","1980-1984","Iran","Bombing/Explosion","Transportation","Other Source",2,0,0
"257","Middle East & North Africa","1980-1984","Iran","Armed Assault","Military","PGIS",3,2,0
"258","Middle East & North Africa","1980-1984","Iran","Armed Assault","Police","PGIS",4,24,8
"259","Middle East & North Africa","1980-1984","Iran","Armed Assault","Business, Utilities & Communication","PGIS",1,0,3
"260","Middle East & North Africa","1980-1984","Iran","Armed Assault","Government","PGIS",1,0,6
"261","Middle East & North Africa","1980-1984","Iran","Armed Assault","Government","Other Source",1,0,0
"262","Middle East & North Africa","1980-1984","Iran","Armed Assault","Transportation","PGIS",1,2,30
"263","Middle East & North Africa","1980-1984","Iran","Assassination","Private Citizens & Property","PGIS",3,1,2
"264","Middle East & North Africa","1980-1984","Iran","Assassination","Military","PGIS",3,2,0
"265","Middle East & North Africa","1980-1984","Iran","Assassination","Police","PGIS",4,4,2
"266","Middle East & North Africa","1980-1984","Iran","Assassination","Business, Utilities & Communication","PGIS",6,6,1
"267","Middle East & North Africa","1980-1984","Iran","Assassination","Unknown, religious & militia","PGIS",10,17,14
"268","Middle East & North Africa","1980-1984","Iran","Assassination","Government","PGIS",34,30,34
"269","Middle East & North Africa","1980-1984","Iran","Assassination","Transportation","PGIS",1,0,1
"270","Middle East & North Africa","1980-1984","Iran","Hostage Taking","Business, Utilities & Communication","PGIS",1,0,0
"271","Middle East & North Africa","1980-1984","Iran","Hostage Taking","Unknown, religious & militia","PGIS",1,0,0
"272","Middle East & North Africa","1980-1984","Iran","Hostage Taking","Government","PGIS",1,0,0
"273","Middle East & North Africa","1980-1984","Iran","Unknown","Military","PGIS",3,3,11
"274","Middle East & North Africa","1980-1984","Iran","Unknown","Police","PGIS",1,0,0
"275","Middle East & North Africa","1980-1984","Iran","Unknown","Government","Other Source",2,2,2
"276","Middle East & North Africa","1980-1984","Iran","Facility/Infrastructure Attack","Private Citizens & Property","PGIS",4,8,0
"277","Middle East & North Africa","1980-1984","Iran","Facility/Infrastructure Attack","Business, Utilities & Communication","PGIS",5,0,0
"278","Middle East & North Africa","1980-1984","Iran","Facility/Infrastructure Attack","Government","PGIS",2,0,0
